,rating,tconst,title,year,cast1,cast2,cast3,cast4,director,genre1,genre2,plot,date,runtime,tagline,writers
0,8.5,tt2582802,Whiplash,2014,Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser,Damien Chazelle,Drama,Music,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,2014-10-15,107,The road to greatness can take you to the edge,Damien Chazelle
1,7.2,tt0113189,GoldenEye,1995,Pierce Brosnan,Sean Bean,Izabella Scorupco,Famke Janssen,Martin Campbell,Action,Adventure,James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow agent formerly believed to be dead.,1995-11-17,130,You know the name. You know the number.,Ian Fleming
2,7.9,tt0055895,Days of Wine and Roses,1962,Jack Lemmon,Lee Remick,Charles Bickford,Jack Klugman,Blake Edwards,Drama,nan,"An alcoholic marries a young woman, whom he systematically addicts to booze so they can share his ""passion"" together.",1963-02-04,117,"This, in its own terrifying way, is a love story.",J.P. Miller
3,6.8,tt0102510,The Naked Gun 2½: The Smell of Fear,1991,Leslie Nielsen,Priscilla Presley,George Kennedy,O.J. Simpson,David Zucker,Comedy,Crime,Lieutenant Drebin discovers that his ex-girlfriend's new beau is involved in a plot to kidnap a scientist who advocates solar energy.,1991-06-28,85,If you see only one movie this year...you ought to get out more often.,Jim Abrahams
4,7.1,tt0424136,Hard Candy,2005,Patrick Wilson,Ellen Page,Sandra Oh,Odessa Rae,David Slade,Crime,Drama,A teenage girl raids a man's home in order to expose him under suspicion that he is a sex offender with pedophilia.,2006-04-28,104,Strangers shouldn't talk to little girls.,Brian Nelson
5,7.1,tt1204342,The Muppets,2011,Amy Adams,Jason Segel,Chris Cooper,Rashida Jones,James Bobin,Adventure,Comedy,A Muppet fanatic with some help from his two human compatriots must regroup the Muppet gang to stop an avaricious oil mogul from taking down one of their precious life-longing treasures.,2011-11-23,103,They're closer than you think.,Jason Segel
6,6.6,tt0196229,Zoolander,2001,Ben Stiller,Owen Wilson,Christine Taylor,Will Ferrell,Ben Stiller,Comedy,nan,"At the end of his career, a clueless fashion model is brainwashed to kill the Prime Minister of Malaysia.",2001-09-28,90,3% Body Fat. 1% Brain Activity.,Drake Sather
7,6.6,tt1764183,Arbitrage,2012,Richard Gere,Susan Sarandon,Brit Marling,Tim Roth,Nicholas Jarecki,Drama,Thriller,A troubled hedge fund magnate desperate to complete the sale of his trading empire makes an error that forces him to turn to an unlikely person for help.,2012-09-14,107,Power is the best alibi.,Nicholas Jarecki
8,7.9,tt0097216,Do the Right Thing,1989,Danny Aiello,Ossie Davis,Ruby Dee,Richard Edson,Spike Lee,Comedy,Drama,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",1989-07-21,120,"It's the hottest day of the summer. You can do nothing, you can do something, or you can...",Spike Lee
9,7.5,tt0097351,Field of Dreams,1989,Kevin Costner,James Earl Jones,Ray Liotta,Amy Madigan,Phil Alden Robinson,Drama,Family,"An Iowa corn farmer, hearing voices, interprets them as a command to build a baseball diamond in his fields; he does, and the Chicago White Sox come.",1989-05-05,107,"All his life, Ray Kinsella was searching for his dreams. Then one day, his dreams came looking for him.",W.P. Kinsella
10,7.4,tt0128442,Rounders,1998,Matt Damon,Edward Norton,Gretchen Mol,John Malkovich,John Dahl,Crime,Drama,A young man is a reformed gambler who must return to playing big stakes poker to help a friend pay off loan sharks.,1998-09-11,121,You've got to play the hand you're dealt.,David Levien
11,7.4,tt0274309,24 Hour Party People,2002,Steve Coogan,Lennie James,John Thomson,Paul Popplewell,Michael Winterbottom,Biography,Comedy,"In 1976, Tony Wilson sets up Factory Records and brings Manchester's music to the world.",2002-09-20,117,"The unbelievably true story of one man, one movement, the music and madness that was Manchester.",Frank Cottrell Boyce
12,5.8,tt1959490,Noah,2014,Russell Crowe,Jennifer Connelly,Anthony Hopkins,Emma Watson,Darren Aronofsky,Action,Adventure,A man is chosen by his world's creator to undertake a momentous mission before an apocalyptic flood cleanses the world.,2014-03-28,138,Rediscover the epic story of one man and the most remarkable event in our history.,Darren Aronofsky
13,7.3,tt0145653,Angela's Ashes,1999,Emily Watson,Robert Carlyle,Joe Breen,Ciaran Owens,Alan Parker,Drama,nan,"Based on the best selling autobiography by Irish expat Frank McCourt, Angela's Ashes follows the experiences...",2000-01-21,145,The Hopes of a Mother. The Dreams of a Father. The Fate of a Child.,Frank McCourt
14,7.6,tt0373469,Kiss Kiss Bang Bang,2005,Robert Downey Jr.,Val Kilmer,Michelle Monaghan,Corbin Bernsen,Shane Black,Comedy,Crime,"A murder mystery brings together a private eye, a struggling actress, and a thief masquerading as an actor.",2005-11-18,103,SeX. MurdEr. MyStery. Welcome to the party.,Brett Halliday
15,7.9,tt1182345,Moon,2009,Sam Rockwell,Kevin Spacey,Dominique McElligott,Rosie Shaw,Duncan Jones,Drama,Mystery,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.",2009-07-10,97,The last place you'd ever expect to find yourself,Duncan Jones
16,8.3,tt0070735,The Sting,1973,Paul Newman,Robert Redford,Robert Shaw,Charles Durning,George Roy Hill,Comedy,Crime,"In Chicago in September 1936, a young con man seeking revenge for his murdered partner teams up with a master of the big con to win a fortune from a criminal banker.",1973-12-25,129,"Recapture ""the STING Experience"". REMEMBER HOW GOOD THE FEEL WAS THE FIRST TIME (re-release)",David S. Ward
17,7.4,tt1193138,Up in the Air,2009,George Clooney,Vera Farmiga,Anna Kendrick,Jason Bateman,Jason Reitman,Drama,Romance,"With a job traveling around the country firing people, Ryan Bingham enjoys his life living out of a suitcase, but finds that lifestyle threatened by the presence of a new hire and a potential love interest.",2009-12-23,109,The story of a man ready to make a connection.,Walter Kirn
18,7.9,tt0100150,Miller's Crossing,1990,Gabriel Byrne,Albert Finney,John Turturro,Marcia Gay Harden,Joel Coen,Crime,Drama,"Tom Regan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",1990-10-05,115,What's the rumpus?,Joel Coen
19,7.7,tt0456912,A Bittersweet Life,2005,Jung-min Hwang,Yu-mi Jeong,Ku Jin,Hae-gon Kim,Jee-woon Kim,Action,Crime,Things go wrong for a high ranking mobster when he doesn't proceed by his boss's orders.,2005-04-01,120,"When doing right goes very, very wrong.",Jee-woon Kim
20,7.1,tt0117039,Michael Collins,1996,Liam Neeson,Aidan Quinn,Julia Roberts,Ian Hart,Neil Jordan,Biography,Drama,"Neil Jordan's historical biopic of Irish revolutionary Michael Collins, the man who led a guerrilla war against the UK, helped negotiate the creation of the Irish Free State, and led the National Army during the Irish Civil War.",1996-10-25,133,"Ireland, 1916. His dreams inspired hope. His words inspired passion. His courage forged a nation's destiny.",Neil Jordan
21,7.8,tt0100157,Misery,1990,James Caan,Kathy Bates,Richard Farnsworth,Frances Sternhagen,Rob Reiner,Crime,Drama,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.",1990-11-30,107,This Christmas there will be... Misery.,Stephen King
22,7.0,tt0208874,The Contender,2000,Joan Allen,Gary Oldman,Jeff Bridges,Christian Slater,Rod Lurie,Drama,Thriller,"Senator Laine Hanson is a contender for US Vice President, but information and disinformation about her past surfaces that threatens to de-rail her confirmation.",2000-10-13,126,Sometimes you can assassinate a leader without firing a shot.,Rod Lurie
23,5.5,tt0464154,Piranha 3D,2010,Elisabeth Shue,Jerry O'Connell,Richard Dreyfuss,Ving Rhames,Alexandre Aja,Comedy,Horror,"After a sudden underwater tremor sets free scores of the prehistoric man-eating fish, an unlikely group of strangers must band together to stop themselves from becoming fish food for the area's new razor-toothed residents.",2010-08-20,88,This Summer 3D Shows Its Teeth,Pete Goldfinger
24,6.5,tt0097428,Ghostbusters II,1989,Bill Murray,Dan Aykroyd,Sigourney Weaver,Harold Ramis,Ivan Reitman,Action,Comedy,The discovery of a massive river of ectoplasm and a resurgence of spectral activity allows the staff of Ghostbusters to revive the business.,1989-06-16,108,An Ivan Reitman film,Dan Aykroyd
25,6.2,tt0442933,Beowulf,2007,Ray Winstone,Crispin Glover,Angelina Jolie,Robin Wright,Robert Zemeckis,Animation,Action,"The warrior Beowulf must fight and defeat the monster Grendel who is terrorizing Denmark, and later, Grendel's mother, who begins killing out of revenge.",2007-11-16,115,Pride is the curse.,Neil Gaiman
